143, 2022-04-10, Monthly Stand Fees, 1918, 175.00, 26.25, 201.25
144, 2022-04-12, Monthly Stand Fees, 1919, 175.00, 26.25, 201.25
145, 2022-04-17, Cab Fare, 1920, 25.00, 3.75, 28.75
146, 2022-04-21, Monthly Stand Fees, 1921, 175.00, 26.25, 201.25
147, 2022-04-24, 1 Day Rental, 1922, 60.00, 9.00, 69.00
148, 2022-04-29, Cab Fare, 1923, 25.00, 3.75, 28.75
149, 2022-05-02, 1 Week Rental, 1924, 300.00, 45.00, 345.00
150, 2022-05-06, Monthly Stand Fees, 1925, 175.00, 26.25, 201.25
151, 2022-05-10, Cab Fare, 1926, 25.00, 3.75, 28.75
152, 2022-05-11, Monthly Stand Fees, 1927, 175.00, 26.25, 201.25
153, 2022-05-16, Monthly Stand Fees, 1928, 175.00, 26.25, 201.25
154, 2022-05-19, Monthly Stand Fees, 1929, 175.00, 26.25, 201.25
155, 2022-05-22, Cab Fare, 1930, 25.00, 3.75, 28.75
156, 2022-05-27, Monthly Stand Fees, 1931, 175.00, 26.25, 201.25
157, 2022-06-01, 1 Week Rental, 1932, 300.00, 45.00, 345.00
158, 2022-06-03, 1 Day Rental, 1933, 60.00, 9.00, 69.00
159, 2022-06-06, Monthly Stand Fees, 1934, 175.00, 26.25, 201.25
